run name,resampling,seed,effective bs,effective lr,scheduler,model,task,pool,loss,threshold,train/infer max len,oof,lb,,,comments,git,kaggle
v20240621232200,skf-7,,16,2.00E-05,cosine,deberta base,reg,null,mse,no,1024/1024,0.833704223,0.801,,,-0.032704223,,https://www.kaggle.com/code/reighns/deberta-inference-reg-cls-folds?scriptVersionId=184825461
v20240623204604,skf-7,,8,1.00E-05,cosine,deberta base,reg,attention,mse,no,1024/1024,0.829403219,0.798,,,,,https://www.kaggle.com/code/reighns/v20240623204604-all-folds-inference?scriptVersionId=185196965
v20240624231703,skf-5,,8,1.00E-05,linear,deberta small,reg,null,mse,no,1024/1024,0.820410179,0.803,,,,6c06a4bdcc0faad853a04eaa48d044ac7440d186,https://www.kaggle.com/code/reighns/v20240624231703-all-folds-inference?scriptVersionId=185266778
v20240624231703,skf-5,,8,1.00E-05,linear,deberta small,reg,null,mse,yes,1024/1024,0.828053469,0.808,,,,6c06a4bdcc0faad853a04eaa48d044ac7440d186,https://www.kaggle.com/code/janderchu/v20240624231703-fix-threshold-bug?scriptVersionId=185295398
v20240625063058,fullfit,,8,1.00E-05,linear,deberta small,reg,null,mse,no,1024/1024,0.885310683,0.794,,,,6c06a4bdcc0faad853a04eaa48d044ac7440d186,https://www.kaggle.com/code/reighns/new-deberta-inference-reg-cls?scriptVersionId=185272445
v20240624231703,skf-5,,8,1.00E-05,linear,deberta small,reg,null,mse,no,1024/4096,0.820410179,0.803,,,,6c06a4bdcc0faad853a04eaa48d044ac7440d186,https://www.kaggle.com/code/reighns/v20240624231703-all-folds-inference?scriptVersionId=185276234
v20240625074424,skf-5,,8,1.00E-05,linear,deberta small,reg,attention,mse,no,1024/1024,0.823134664,0.8,,,,a8b9122bdf1e8b046f5d75d0cc70970718ec0806,https://www.kaggle.com/code/reighns/v20240625074424-all-folds-inference?scriptVersionId=185290526
v20240625094959,skf-5,,8,1.00E-05,linear,deberta small,reg,null,huber,no,1024/1024,0.817544944,,,,,a8b9122bdf1e8b046f5d75d0cc70970718ec0806,
v20240625102856,skf-5,,8,1.00E-05,linear,deberta small,reg,mean,mse,no,1024/1024,0.823401018,,,,,,
v20240625110020,skf-5,,8,1.00E-05,linear,deberta small,reg,gem,mse,no,1024/1024,0.824144898,0.797,,,,,
v20240625110020,skf-5,,8,1.00E-05,linear,deberta small,reg,gem,mse,yes,1024/1024,0.824144898,0.796,,,,,
v20240626001626,skf-5,,8,1.00E-05,linear,deberta large,reg,null,mse,,1024/1024,,,,,,,